"BnaA01g00520D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA10g19710D"	"Nascent polypeptide-associated complex NAC domain, Nascent polypeptide-associated complex subunit alpha"
"BnaA10g19980D"	NA
"BnaA10g20530D"	"Proteinase inhibitor I25, cystatin, Proteinase inhibitor I25, cystatin, conserved site, Proteinase inhibitor I25, cystatin, conserved region, Cystatin"
"BnaA10g20710D"	"Late embryogenesis abundant protein, LEA-14"
"BnaA10g20800D"	NA
"BnaA10g20810D"	"NADH:ubiquinone oxidoreductase-like, 20kDa subunit, NADH-ubiquinone oxidoreductase, 20 Kd subunit, [NiFe]-hydrogenase-3-type complex, small subunit/NADH:quinone oxidoreductase, subunit NuoB"
"BnaA10g20830D"	NA
"BnaA10g20850D"	"Epsin domain, N-terminal, ENTH/VHS, Epsin-like, N-terminal"
"BnaA10g20960D"	"Proton-dependent oligopeptide transporter family, Quinonprotein alcohol dehydrogenase-like-superfamily, Domain of unknown function DUF1620, Major facilitator superfamily domain, general substrate transporter, Pyrrolo-quinoline quinone beta-propeller repeat, ER membrane protein complex subunit 1"
"BnaA10g21130D"	"Endonuclease/exonuclease/phosphatase"
"BnaA10g21200D"	"cAMP response element binding (CREB) protein, Basic-leucine zipper domain"
"BnaA10g21470D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, NAF domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, NAF/FISL domain, Tyrosine-protein kinase, catalytic domain, Calcium/calmodulin-dependent/calcium-dependent protein kinase"
"BnaA10g21500D"	NA
"BnaA10g21510D"	"Cystathionine beta-synthase, core"
"BnaA10g21580D"	NA
"BnaA10g21610D"	NA
"BnaA10g22420D"	"Cytochrome b5-like heme/steroid binding domain, Lactate/malate dehydrogenase, N-terminal, Malate dehydrogenase, active site, L-lactate/malate dehydrogenase, Malate dehydrogenase, type 1, Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal, NAD(P)-binding domain, Cytochrome b5, heme-binding site, Lactate/malate dehydrogenase, C-terminal"
"BnaA10g22470D"	"Cysteine alpha-hairpin motif superfamily, CHCH"
"BnaA10g22570D"	NA
"BnaA10g22680D"	"No apical meristem (NAM) protein"
"BnaA10g22770D"	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain, ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal, AAA+ ATPase domain, ATPase, alpha/beta subunit, N-terminal, ATPase, F1 complex, beta subunit, ATPase, alpha/beta subunit, nucleotide-binding domain, active site, ATPase, F1 complex beta subunit/V1 complex, C-terminal"
"BnaA10g23120D"	NA
"BnaA10g23160D"	"Transcription factor CBF/NF-Y/archaeal histone, Histone-fold, Transcriptional regulator Dr1/Ncb2"
"BnaA10g23360D"	NA
"BnaA10g23520D"	"Drug/metabolite transporter"
"BnaA10g23530D"	"Transcription factor CBF/NF-Y/archaeal histone, Histone-fold"
"BnaA10g23980D"	"SANT/Myb domain, Homeodomain-like, Myb domain"
"BnaA10g24140D"	"Arginine decarboxylase, Orn/DAP/Arg decarboxylase 2, C-terminal"
"BnaA10g24240D"	"Plant peroxidase, Haem peroxidase, plant/fungal/bacterial, Haem peroxidase, Peroxidases heam-ligand binding site, Peroxidase, active site"
"BnaA10g24250D"	"Homeodomain, Leucine zipper, homeobox-associated, Homeodomain-like, Homeobox, conserved site"
"BnaA10g24280D"	"Spc97/Spc98, Gamma tubulin complex protein 3"
"BnaA10g24290D"	"Nucleic acid-binding, OB-fold, Translation initiation factor 2, alpha subunit, middle domain"
"BnaA10g24310D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaA10g24340D"	"Nucleic acid-binding, OB-fold, Translation initiation factor 2, alpha subunit, middle domain"
"BnaA10g24670D"	"UDP-glucuronosyl/UDP-glucosyltransferase"
"BnaA10g24720D"	"Protein of unknown function DUF620"
"BnaA10g24810D"	"DnaJ domain, Domain of unknown function DUF1977, DnaJ-like, DnaJ domain, conserved site"
"BnaA10g24820D"	"Anthranilate synthase component I, PabB-like, ADC synthase, Anthranilate synthase component I, N-terminal, Chorismate binding, C-terminal, Anthranilate synthase component I"
"BnaA10g24990D"	"Polyketide cyclase/dehydrase, START-like domain"
"BnaA10g25180D"	"UbiB domain, Protein kinase-like domain"
"BnaA10g25240D"	"SNF2-related, Helicase, C-terminal, HIP116, Rad5p N-terminal"
"BnaA10g25350D"	"Very-long-chain 3-ketoacyl-CoA synthase, FAE1/Type III polyketide synthase-like protein, 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C-terminal, Thiolase-like, subgroup, Thiolase-like"
"BnaA10g25410D"	"Protein kinase, catalytic domain, Calcium-binding EF-hand, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, EF-hand-like domain, Protein kinase, ATP binding site, EF-Hand 1, calcium-binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA10g25540D"	NA
"BnaA10g25620D"	"Nitrite/Sulfite reductase ferredoxin-like domain, Nitrite/sulphite reductase iron-sulphur/siroheam-binding site, Nitrite/sulphite reductase 4Fe-4S domain, Sulphite reductase, ferredoxin dependent"
"BnaA10g25630D"	"HhH-GPD domain, Endonuclease III-like, iron-sulphur cluster loop motif, DNA glycosylase, Helix-turn-helix, base-excision DNA repair, C-terminal"
"BnaA10g25690D"	"Phosphatidate cytidylyltransferase"
"BnaA10g25700D"	"Glycosyl transferase, family 1"
"BnaA10g25720D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA10g25730D"	"Protein of unknown function DUF1997"
"BnaA10g25740D"	"K Homology domain, K Homology domain, type 1"
"BnaA10g25820D"	"Glycoside hydrolase, family 13, N-terminal, Glycosyl hydrolase, family 13, catalytic domain, Alpha-1,6-glucosidases, pullulanase-type, Glycoside hydrolase, catalytic domain, Immunoglobulin-like fold, Immunoglobulin E-set, Glycoside hydrolase, family 13, Glycoside hydrolase, superfamily, Alpha-1,6-glucosidases, pullulanase-type, C-terminal"
"BnaA10g25890D"	NA
"BnaA10g25940D"	"Transcription elongation factor Spt5, NGN domain, KOW, Transcription antitermination protein, NusG, N-terminal, Translation protein SH3-like domain, Transcription elongation factor Spt5"
"BnaA10g25980D"	"JmjC domain, Transcription factor jumonji, JmjN, Zinc finger, C2H2, Zinc finger C2H2-type/integrase DNA-binding domain, Zinc finger, C2H2-like"
"BnaA10g26020D"	"Alpha carbonic anhydrase, Carbonic anhydrase, alpha-class"
"BnaA10g26040D"	"Domain of unknown function DUF250"
"BnaA10g26160D"	"F-box domain, cyclin-like"
"BnaA10g26190D"	"F-box domain, cyclin-like, F-box associated interaction domain"
"BnaA10g26270D"	"Glutathione S-transferase, N-terminal, Thioredoxin-like fold"
"BnaA10g26380D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain, Serine/threonine-protein kinase CTR1, Armadillo repeat-containing protein 3 and Serine/threonine-protein kinase CTR1"
"BnaA10g26550D"	NA
"BnaA10g26560D"	"Domain of unknown function DUF4050"
"BnaA10g26610D"	"Ovarian tumour, otubain"
"BnaA10g26620D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA10g26640D"	"Adenosine kinase, Carbohydrate/puine kinase, PfkB, conserved site, Carbohydrate kinase PfkB"
"BnaA10g26650D"	"Isocitrate and isopropylmalate dehydrogenases family, Isocitrate dehydrogenase NAD-dependent, Isocitrate/isopropylmalate dehydrogenase, conserved site, Isopropylmalate dehydrogenase-like domain"
"BnaA10g26670D"	"Natural resistance-associated macrophage protein, Ethylene-insensitive 2"
"BnaA10g26730D"	NA
"BnaA10g26740D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA10g26780D"	"Phosphatidic acid phosphatase type 2/haloperoxidase, Phosphatidic acid phosphatase/chloroperoxidase, N-terminal"
"BnaA10g26810D"	NA
"BnaA10g26910D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA10g26980D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA10g27050D"	"RNA polymerase II-associated, Paf1"
"BnaA10g27090D"	"Transcription factor E2F/dimerisation partner (TDP), Winged helix-turn-helix transcription repressor DNA-binding domain, Transcription factor DP, C-terminal, Transcription factor DP, Transcription factor DP, subgroup"
"BnaA10g27110D"	"Glycosyl transferase, family 1, PIGA, GPI anchor biosynthesis"
"BnaA10g27160D"	"Protein of unknown function DUF3741, Domain of unknown function DUF4378"
"BnaA10g27180D"	"Helix-hairpin-helix motif, Kinesin, motor domain, Kinesin-like protein KIF22  (Kid)"
"BnaA10g27190D"	"SANT/Myb domain, Homeodomain-like, Myb domain"
"BnaA10g27200D"	"Zinc finger, N-recognin, Zinc finger, N-recognin, metazoa"
"BnaA10g27210D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA10g27220D"	"Sybindin-like protein, Longin-like domain"
"BnaA10g27230D"	"ABC transporter-like, AAA+ ATPase domain"
"BnaA10g27240D"	"Expansin, Expansin/pollen allergen, DPBB domain, Expansin, cellulose-binding-like domain, Expansin/Lol pI, Barwin-related endoglucanase, Barwin-like endoglucanase"
"BnaA10g27250D"	"Ribonuclease II/R"
"BnaA10g27260D"	"NAD(P)-binding domain"
"BnaA10g27270D"	"HAD-superfamily hydrolase, subfamily IA, variant 3, Pyrimidine 5-nucleotidase, HAD-like domain"
"BnaA10g27280D"	NA
"BnaA10g27290D"	NA
"BnaA10g27320D"	"Amino acid transporter, transmembrane"
"BnaA10g27330D"	"Heat shock protein DnaJ, cysteine-rich domain"
"BnaA10g27340D"	"Thaumatin"
"BnaA10g27350D"	"Tetratricopeptide-like helical, Tetratricopeptide repeat"
"BnaA10g27380D"	"Pectinesterase inhibitor"
"BnaA10g27390D"	"DNA/pantothenate metabolism flavoprotein, C-terminal"
"BnaA10g27400D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Mitochondrial glycoprotein, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain, Wall-associated receptor kinase galacturonan-binding domain"
"BnaA10g27410D"	"Homeodomain, POX, Homeobox KN domain, Homeodomain-like"
"BnaA10g27420D"	NA
"BnaA10g27430D"	"Plant specific Rop nucleotide exchanger, PRONE"
"BnaA10g27440D"	"Protein of unknown function DUF3527"
"BnaA10g27470D"	"GDP-fucose protein O-fucosyltransferase"
"BnaA10g27480D"	"Protein of unknown function DUF674"
"BnaA10g27500D"	"Zinc finger, C2H2, Zinc finger, RING-type, conserved site"
"BnaA10g27510D"	"Uncharacterised protein family UPF0503"
"BnaA10g27520D"	"Uncharacterised protein family UPF0503"
"BnaA10g27530D"	"Proton-dependent oligopeptide transporter family, Major facilitator superfamily domain, general substrate transporter, PTR2 family proton/oligopeptide symporter, conserved site"
"BnaA10g27540D"	"Transferase, Chloramphenicol acetyltransferase-like domain"
"BnaA10g27570D"	NA
"BnaA10g27580D"	"Ribosomal RNA methyltransferase FtsJ domain, Ribosomal RNA large subunit methyltransferase E"
"BnaA10g27590D"	"Nucleic acid-binding, OB-fold, Replication factor A, C-terminal"
"BnaA10g27610D"	"Amino acid transporter, transmembrane"
"BnaA10g27640D"	"Histidine triad (HIT) protein, Appr-1-p processing, HIT-like domain, Histidine triad, conserved site"
"BnaA10g27660D"	"Protein of unknown function DUF538"
"BnaA10g27670D"	"Kelch repeat type 1, Development/cell death domain, Galactose oxidase, beta-propeller"
"BnaA10g27700D"	"Protein phosphatase 2C (PP2C)-like, Protein phosphatase 2C"
"BnaA10g27720D"	"Translation elongation factor P/YeiP, central, Translation protein SH3-like domain, Translation elongation factor P, Nucleic acid-binding, OB-fold, Translation elongation factor, KOW-like, Translation elongation factor P/YeiP, conserved site, Ribosomal protein L2 domain 2, Elongation factor P, C-terminal"
"BnaA10g27930D"	"Lipase, class 3"
"BnaA10g28170D"	NA
"BnaA10g28230D"	"Ubiquitin-conjugating enzyme, E2, Ubiquitin-conjugating enzyme/RWD-like, Ubiquitin-conjugating enzyme, active site"
"BnaA10g29150D"	NA
"BnaA10g29160D"	NA
"BnaA10g29370D"	"Reticulon"
"BnaA10g29520D"	"Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain, Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site"
"BnaA10g29580D"	NA
"BnaA10g29980D"	"Protein kinase, catalytic domain, Calcium-binding EF-hand, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, EF-hand-like domain, Protein kinase, ATP binding site, EF-Hand 1, calcium-binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA10g29990D"	"CCAAT-binding transcription factor, subunit B, CCAAT-binding factor, conserved site"
"BnaA10g30340D"	"Ribosomal protein S8e/ribosomal biogenesis NSA2"
"BnaA10g30360D"	"FAS1 domain"
"BnaA10g30530D"	"Ankyrin repeat, Ankyrin repeat-containing domain, PGG domain"
"BnaA10g30550D"	NA
"BnaAnng00300D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaAnng00510D"	"HECT, Armadillo-like helical, Armadillo-type fold"
"BnaAnng00660D"	NA
"BnaAnng00690D"	"Small GTPase superfamily, Ran GTPase, Small GTPase superfamily, Rho type, Small GTPase superfamily, Rab type, Small GTP-binding protein domain, Small GTPase superfamily, Ras type, Small GTPase superfamily, ARF type, Sigma-54 interaction domain, ATP-binding site 1"
"BnaAnng00780D"	"Helix-turn-helix motif, Homeodomain, Homeodomain-like, Homeobox, conserved site"
"BnaAnng01000D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaAnng01010D"	"Enhancer of polycomb-like, N-terminal, Enhancer of polycomb protein"
"BnaAnng01020D"	"Heavy metal-associated domain, HMA"
"BnaAnng01080D"	NA
"BnaAnng01300D"	"Plant peroxidase, Haem peroxidase, plant/fungal/bacterial, Haem peroxidase, Peroxidases heam-ligand binding site, Peroxidase, active site"
"BnaAnng01830D"	"Protein phosphatase 2C, manganese/magnesium aspartate binding site, Protein phosphatase 2C (PP2C)-like, Protein phosphatase 2C"
"BnaAnng01920D"	"Basic-leucine zipper domain, DOG1 domain"
"BnaAnng02130D"	"Protein phosphatase 2C (PP2C)-like, Protein phosphatase 2C"
"BnaAnng02180D"	NA
"BnaAnng02330D"	"GDP-fucose protein O-fucosyltransferase"
"BnaAnng02420D"	"Acyl-CoA-binding protein, ACBP, Kelch repeat type 2, FERM/acyl-CoA-binding protein, 3-helical bundle, Kelch-type beta propeller, Galactose oxidase, beta-propeller"
"BnaAnng02460D"	"Ribonucleoprotein LSM domain, WASH complex, F-actin capping protein, alpha subunit, Ribonucleoprotein LSM domain, eukaryotic/archaea-type, Like-Sm (LSM) domain, F-actin capping protein, alpha subunit, conserved site"
"BnaAnng02470D"	"AAA+ ATPase domain, ATPase, AAA-type, core, ATPase, AAA-type, conserved site, 26S proteasome subunit P45"
"BnaAnng02510D"	"Aminotransferase, class IV"
"BnaAnng02560D"	"Cyclin P/U, Cyclin-like, Cyclin PHO80-like"
"BnaAnng02570D"	NA
"BnaAnng02760D"	"Phospholipase D/Transphosphatidylase, Pleckstrin homology domain, Pleckstrin homology-like domain, Phospholipase D family, Phospholipase D, eukaryota, Phospholipase D-like domain"
"BnaAnng03270D"	NA
"BnaAnng03280D"	"Aminotransferase-like, plant mobile domain"
"BnaAnng03290D"	"Peptidase C48, SUMO/Sentrin/Ubl1"
"BnaAnng04260D"	"Terpene synthase, N-terminal domain, Terpene synthase, metal-binding domain, Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid, Terpenoid synthase"
"BnaAnng04770D"	NA
"BnaAnng04850D"	"Histone H3, Histone core, Histone-fold"
"BnaAnng05100D"	"Actin-binding FH2/DRF autoregulatory, Actin-binding FH2"
"BnaAnng05160D"	NA
"BnaAnng05580D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaAnng05600D"	"Leucine-rich repeat"
"BnaAnng05750D"	"DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal, DNA polymerase III, subunit gamma/ tau, DNA polymerase III, gamma subunit, domain III"
"BnaAnng05810D"	"Ribonucleotide reductase large subunit, C-terminal, ATP-cone, Ribonucleotide reductase R1 subunit, N-terminal, Ribonucleotide reductase, class I , alpha subunit, Ribonucleotide reductase large subunit, N-terminal"
"BnaAnng05850D"	"Phosphate-induced protein 1"
"BnaAnng05980D"	"Regulator of chromosome condensation, RCC1, Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II"
"BnaAnng06000D"	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain, ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal, AAA+ ATPase domain, ATPase, alpha/beta subunit, N-terminal, ATPase, F1 complex, beta subunit, ATPase, alpha/beta subunit, nucleotide-binding domain, active site, ATP synthase, F1 beta subunit, ATPase, F1 complex beta subunit/V1 complex, C-terminal"
"BnaAnng06010D"	"Protein of unknown function DUF668, Protein of unknown function DUF3475"
"BnaAnng06110D"	"Protein of unknown function DUF3531"
"BnaAnng06270D"	NA
"BnaAnng06350D"	"Transferase, Chloramphenicol acetyltransferase-like domain"
"BnaAnng06410D"	"Autophagy-related protein 3, N-terminal, Autophagy-related protein 3, Autophagy-related protein 3, C-terminal"
"BnaAnng06460D"	"Myosin II heavy chain-like"
"BnaAnng06690D"	"RNA recognition motif domain, Nuclear transport factor 2, Nucleotide-binding, alpha-beta plait, Nuclear transport factor 2, Eukaryote"
"BnaAnng06790D"	"X8"
"BnaAnng07200D"	"Nucleic acid-binding, OB-fold, Replication factor A, C-terminal"
"BnaAnng07420D"	NA
"BnaAnng08460D"	"SNF2-related, Helicase, C-terminal, Helicase, superfamily 1/2, ATP-binding domain"
"BnaAnng08470D"	NA
"BnaAnng08530D"	"CHCH"
"BnaAnng08680D"	"Peptidase A1, Aspartic peptidase"
"BnaAnng08710D"	"YjeF C-terminal domain, carbohydrate kinase-related, ADP/ATP-dependent (S)-NAD(P)H-hydrate dehydratase"
"BnaAnng08870D"	NA
"BnaAnng09400D"	"NYN domain, limkain-b1-type"
"BnaAnng09480D"	"EEIG1/EHBP1 N-terminal domain"
"BnaAnng09550D"	NA
"BnaAnng09670D"	"Pre-mRNA splicing Prp18-interacting factor"
"BnaAnng10430D"	NA
"BnaAnng10660D"	"Tetratricopeptide-like helical, Tetratricopeptide repeat-containing domain"
"BnaAnng10750D"	"Cysteine synthase/cystathionine beta-synthase P-phosphate-binding site, Tryptophan synthase beta subunit-like PLP-dependent enzymes superfamily, Cysteine synthase K/M, Cysteine synthase A"
"BnaAnng11160D"	NA
"BnaAnng11350D"	"Protein of unknown function DUF1639"
"BnaAnng11460D"	"Ribosomal protein S24e, Nucleotide-binding, alpha-beta plait, Ribosomal protein L23/L15e core domain, Ribosomal S24e conserved site"
"BnaAnng11920D"	"Protein of unknown function DUF1517"
"BnaAnng12080D"	"Domain of unknown function DUF250"
"BnaAnng12210D"	"AUX/IAA protein, Aux/IAA-ARF-dimerisation"
"BnaAnng12240D"	NA
"BnaAnng12330D"	"Ribosomal protein S1, RNA-binding domain"
"BnaAnng12340D"	"SNF2-related, Helicase, C-terminal, Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type, Helicase, superfamily 1/2, ATP-binding domain, Zinc finger, RING-type, conserved site"
"BnaAnng12370D"	"Protein of unknown function DUF1068"
"BnaAnng12450D"	"Oxoglutarate/iron-dependent dioxygenase, Non-haem dioxygenase N-terminal domain"
"BnaAnng12480D"	"Thioredoxin, Disulphide isomerase, Thioredoxin-like fold, Thioredoxin domain, Thioredoxin, conserved site"
"BnaAnng12670D"	"Thioredoxin, Thioredoxin-like fold, Thioredoxin domain, Thioredoxin, conserved site"
"BnaAnng12690D"	"Protein phosphatase 2C (PP2C)-like, Protein phosphatase 2C"
"BnaAnng12770D"	"Zinc finger, CCCH-type"
"BnaAnng13030D"	"Ubiquitin-conjugating enzyme, E2, Ubiquitin-conjugating enzyme/RWD-like, Ubiquitin-conjugating enzyme, active site"
"BnaAnng13040D"	NA
"BnaAnng13090D"	"Metallothionein, family 15, plant"
"BnaAnng13110D"	"Ribosomal protein L29, Ribosomal protein L29, conserved site"
"BnaAnng13260D"	"Pentatricopeptide repeat"
"BnaAnng13830D"	"Rhodanese-like domain"
"BnaAnng14000D"	"GDP-fucose protein O-fucosyltransferase"
"BnaAnng14530D"	NA
"BnaAnng14640D"	"GTP binding domain"
"BnaAnng14770D"	NA
"BnaAnng14780D"	NA
"BnaAnng15100D"	"Cysteine alpha-hairpin motif superfamily, CHCH"
"BnaAnng15170D"	"Myc-type, basic helix-loop-helix (bHLH) domain"
"BnaAnng15340D"	"Phospholipase C, phosphatidylinositol-specific , X domain, PLC-like phosphodiesterase, TIM beta/alpha-barrel domain"
"BnaAnng15450D"	"SIT4 phosphatase-associated protein family"
"BnaAnng15700D"	"Arf GTPase activating protein"
"BnaAnng15770D"	"Phosphoglycerate/bisphosphoglycerate mutase, active site, Carbohydrate binding module family 20, Fructose-2,6-bisphosphatase, Histidine phosphatase superfamily, clade-1, 6-phosphofructo-2-kinase, Immunoglobulin-like fold, Carbohydrate-binding-like fold, Bifunctional 6-phosphofructo-2-kinase/fructose-2, 6-bisphosphate 2-phosphatase"
"BnaAnng15780D"	NA
"BnaAnng15800D"	"Double Clp-N motif"
"BnaAnng15830D"	"UDP-glucuronosyl/UDP-glucosyltransferase"
"BnaAnng15940D"	"Plant nuclear matrix 1"
"BnaAnng15970D"	"GPI inositol-deacylase PGAP1-like"
"BnaAnng16230D"	"UBA/THIF-type NAD/FAD binding fold, D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding, Molybdenum cofactor biosynthesis, MoeB, NAD(P)-binding domain"
"BnaAnng16260D"	"Cytidyltransferase-like domain, Rossmann-like alpha/beta/alpha sandwich fold"
"BnaAnng16900D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Protein kinase-like domain, Leucine-rich repeat-containing N-terminal, type 2, Tyrosine-protein kinase, catalytic domain"
"BnaAnng16920D"	NA
"BnaAnng16970D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site"
"BnaAnng17130D"	NA
"BnaAnng17390D"	NA
"BnaAnng17430D"	"Ribosomal protein S9, Ribosomal protein S5 domain 2-type fold, subgroup, Ribosomal protein S5 domain 2-type fold"
"BnaAnng17510D"	NA
"BnaAnng17810D"	"RNA recognition motif domain, Ataxin-2, C-terminal, Nucleotide-binding, alpha-beta plait"
"BnaAnng17840D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, Transcription factor IIIC, 90kDa subunit, N-terminal"
"BnaAnng17890D"	"SANT/Myb domain, Myb domain, plants, Homeodomain-like, Myb domain"
"BnaAnng17930D"	"Organic solute transporter Ost-alpha"
"BnaAnng17940D"	"ArgE/DapE/ACY1/CPG2/YscS, conserved site, Peptidase M20, N-acyl-L-amino-acid amidohydrolase, Peptidase M20, dimerisation domain"
"BnaAnng17950D"	"Expansin, Expansin/pollen allergen, DPBB domain, Expansin, cellulose-binding-like domain, Expansin/Lol pI, Barwin-related endoglucanase, Barwin-like endoglucanase"
"BnaAnng17970D"	"Expansin/pollen allergen, DPBB domain, Expansin, cellulose-binding-like domain, Expansin/Lol pI, Barwin-related endoglucanase, Barwin-like endoglucanase"
"BnaAnng17980D"	"Polyprenyl synthetase, Terpenoid synthase, Polyprenyl synthetase-related"
"BnaAnng18000D"	"YL1 nuclear, C-terminal"
"BnaAnng18020D"	"Thaumatin, Thaumatin, conserved site"
"BnaAnng18690D"	"Metridin-like ShK toxin, Oxoglutarate/iron-dependent dioxygenase, Prolyl 4-hydroxylase, alpha subunit"
"BnaAnng18930D"	"Nop domain, NOP5, N-terminal, NOSIC"
"BnaAnng18950D"	NA
"BnaAnng18960D"	"WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain"
"BnaAnng18970D"	NA
"BnaAnng19080D"	"Glycoside hydrolase, family 17, X8, Glycoside hydrolase, catalytic domain, Glycoside hydrolase, superfamily"
"BnaAnng19160D"	NA
"BnaAnng19210D"	"Glycoside hydrolase, family 1, Glycoside hydrolase, catalytic domain, Glycoside hydrolase, superfamily"
"BnaAnng19350D"	"Thaumatin, Thaumatin, conserved site"
"BnaAnng19360D"	"Cell division protein FtsZ, Tubulin/FtsZ, GTPase domain, MORN motif"
"BnaAnng19390D"	"Ribosomal protein S9, Ribosomal protein S5 domain 2-type fold, subgroup, Ribosomal protein S5 domain 2-type fold, Ribosomal protein S9, conserved site"
"BnaAnng19690D"	"AMP-dependent synthetase/ligase, AMP-binding, conserved site"
"BnaAnng19730D"	"Cytochrome P450, Cytochrome P450, E-class, group IV, Cytochrome P450, conserved site"
"BnaAnng19910D"	"Glycoside hydrolase, family 17, X8, Glycoside hydrolase, catalytic domain, Glycoside hydrolase, superfamily"
"BnaAnng20790D"	"Exocyst complex subunit Sec15-like"
"BnaAnng21170D"	"Peptidase S8/S53 domain, Peptidase S8, subtilisin-related, Peptidase S8, subtilisin, His-active site, Peptidase S8, subtilisin, Ser-active site"
"BnaAnng21180D"	"Toll/interleukin-1 receptor homology (TIR) domain, NB-ARC, Leucine rich repeat 4"
"BnaAnng21640D"	"RNA polymerase sigma-70, RNA polymerase sigma-70 region 3, RNA polymerase sigma-70 region 2, RNA polymerase sigma-70 region 4, Winged helix-turn-helix transcription repressor DNA-binding domain, RNA polymerase sigma factor, region 3/4, RNA polymerase sigma factor, region 2, RNA polymerase sigma-70 like domain"
"BnaAnng22050D"	"Aminotransferase, class I/classII, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase, major region, subdomain 2, Pyridoxal phosphate-dependent transferase"
"BnaAnng22350D"	"Lipase, GDSL, SGNH hydrolase-type esterase domain"
"BnaAnng22640D"	"Major intrinsic protein, Major intrinsic protein, conserved site, Aquaporin-like"
"BnaAnng22700D"	"Transcription factor CBF/NF-Y/archaeal histone, Histone-fold, Transcriptional activator NFYC/HAP5 subunit"
"BnaAnng22710D"	"S-locus glycoprotein, Bulb-type lectin domain, Apple-like, PAN-2 domain"
"BnaAnng22920D"	"Chlorophyll A-B binding protein, plant, Chlorophyll A-B binding protein, Chlorophyll a/b binding protein domain"
"BnaAnng22960D"	NA
"BnaAnng23060D"	"G-patch domain, Zinc finger, CCCH-type"
"BnaAnng23250D"	"YjeF C-terminal domain, carbohydrate kinase-related, ADP/ATP-dependent (S)-NAD(P)H-hydrate dehydratase"
